"","year_week","Am. Indian","Asian","Black","Hispanic","NULL","Other","Unknown","White","Other/Unkown","Black_Percent","White_Percent","Hispanic_Percent","Asian_Percent","Other/Unkown_Percen"
"1",2020-03-16,0,0,4,1,0,0,0,7,0,0.333333333333333,0.583333333333333,0.0833333333333333,0,0
"2",2020-03-23,0,2,41,9,1,1,1,22,3,0.532467532467532,0.285714285714286,0.116883116883117,0.025974025974026,0.038961038961039
"3",2020-03-30,0,4,130,24,0,3,3,58,6,0.585585585585586,0.261261261261261,0.108108108108108,0.018018018018018,0.027027027027027
"4",2020-04-06,1,10,176,42,0,5,2,108,8,0.511627906976744,0.313953488372093,0.122093023255814,0.0290697674418605,0.0232558139534884
"5",2020-04-13,0,16,176,82,0,7,3,156,10,0.4,0.354545454545455,0.186363636363636,0.0363636363636364,0.0227272727272727
"6",2020-04-20,0,22,181,87,2,9,2,186,13,0.370143149284254,0.380368098159509,0.177914110429448,0.0449897750511247,0.0265848670756646
"7",2020-04-27,0,20,171,62,4,11,1,237,16,0.337944664031621,0.468379446640316,0.122529644268775,0.0395256916996047,0.0316205533596838
"8",2020-05-04,0,30,154,90,2,7,2,262,11,0.281535648994516,0.478976234003656,0.164533820840951,0.0548446069469835,0.020109689213894
"9",2020-05-11,1,26,136,147,1,8,0,182,10,0.271457085828343,0.363273453093812,0.293413173652695,0.0518962075848303,0.0199600798403194
"10",2020-05-18,0,20,99,117,2,4,2,158,8,0.246268656716418,0.393034825870647,0.291044776119403,0.0497512437810945,0.0199004975124378
"11",2020-05-25,0,8,86,79,2,3,3,138,8,0.269592476489028,0.432601880877743,0.247648902821317,0.0250783699059561,0.0250783699059561
"12",2020-06-01,0,15,76,68,1,2,2,119,5,0.268551236749117,0.420494699646643,0.240282685512367,0.0530035335689046,0.0176678445229682
"13",2020-06-08,0,18,58,48,0,3,2,84,5,0.272300469483568,0.394366197183099,0.225352112676056,0.0845070422535211,0.0234741784037559
"14",2020-06-15,0,8,46,57,1,2,2,59,5,0.262857142857143,0.337142857142857,0.325714285714286,0.0457142857142857,0.0285714285714286
"15",2020-06-22,0,1,22,31,0,4,0,39,4,0.22680412371134,0.402061855670103,0.319587628865979,0.0103092783505155,0.0412371134020619
"16",2020-06-29,0,9,21,20,0,2,1,36,3,0.235955056179775,0.404494382022472,0.224719101123595,0.101123595505618,0.0337078651685393
"17",2020-07-06,0,2,20,18,0,1,1,27,2,0.289855072463768,0.391304347826087,0.260869565217391,0.0289855072463768,0.0289855072463768
"18",2020-07-13,0,1,13,8,0,2,0,27,2,0.254901960784314,0.529411764705882,0.156862745098039,0.0196078431372549,0.0392156862745098
"19",2020-07-20,0,3,13,12,0,1,0,17,1,0.282608695652174,0.369565217391304,0.260869565217391,0.0652173913043478,0.0217391304347826
"20",2020-07-27,0,2,13,11,0,2,0,12,2,0.325,0.3,0.275,0.05,0.05
"21",2020-08-03,0,1,8,10,0,1,0,13,1,0.242424242424242,0.393939393939394,0.303030303030303,0.0303030303030303,0.0303030303030303
"22",2020-08-10,0,3,14,12,0,0,0,17,0,0.304347826086957,0.369565217391304,0.260869565217391,0.0652173913043478,0
"23",2020-08-17,0,0,9,13,0,1,0,16,1,0.230769230769231,0.41025641025641,0.333333333333333,0,0.0256410256410256
"24",2020-08-24,0,3,12,7,0,2,0,17,2,0.292682926829268,0.414634146341463,0.170731707317073,0.0731707317073171,0.0487804878048781
"25",2020-08-31,0,0,7,12,0,1,0,11,1,0.225806451612903,0.354838709677419,0.387096774193548,0,0.032258064516129
"26",2020-09-07,0,1,8,17,0,0,0,13,0,0.205128205128205,0.333333333333333,0.435897435897436,0.0256410256410256,0
